"topic","ds","__dt"
"1","2018-05-22 16:04:35","2022-04-09 00:00:00.000"
"1","2018-05-22 16:06:12","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:46","2022-04-09 00:00:00.000"
"1","2018-05-22 16:01:57","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:29","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:35","2022-04-09 00:00:00.000"
"2","2018-05-22 16:21:43","2022-04-09 00:00:00.000"
"2","2018-05-22 16:39:37","2022-04-09 00:00:00.000"
"0","2018-05-22 16:44:00","2022-04-09 00:00:00.000"
"1","2018-05-22 15:43:57","2022-04-09 00:00:00.000"
"0","2018-05-22 15:50:58","2022-04-09 00:00:00.000"
"2","2018-05-23 20:06:50","2022-04-09 00:00:00.000"
"0","2018-05-22 16:22:28","2022-04-09 00:00:00.000"
"2","2018-05-22 15:51:19","2022-04-09 00:00:00.000"
"0","2018-05-22 16:43:41","2022-04-09 00:00:00.000"
"1","2018-05-22 16:22:12","2022-04-09 00:00:00.000"
"0","2018-05-22 16:01:37","2022-04-09 00:00:00.000"
"0","2018-05-22 16:44:13","2022-04-09 00:00:00.000"
"1","2018-05-22 16:04:53","2022-04-09 00:00:00.000"
